sale_id,store_id,product_id,date_id,quantity_sold,revenue,cost,profit
1,1,29,22,3,3387.39,2392.87,994.52
2,5,7,358,4,7299.16,4322.36,2976.8
3,3,13,257,3,7684.86,4744.61,2940.25
4,4,28,40,4,8394.6,6649.71,1744.89
5,2,6,113,4,2876.04,1511.23,1364.81
6,3,14,3,3,4884.66,2644.44,2240.22
7,5,2,68,4,6701.24,4428.96,2272.28
8,3,26,5,4,3363.24,2229.33,1133.91
9,2,10,21,1,1419.0,962.14,456.86
10,5,10,107,3,4257.0,3057.65,1199.35
11,5,23,117,3,6021.48,4225.65,1795.83
12,3,14,12,4,6512.88,4002.62,2510.26
13,2,22,208,5,14304.05,11094.31,3209.74
14,3,1,320,1,1466.14,1163.36,302.78
15,2,13,107,4,10246.48,8140.44,2106.04
16,1,29,306,3,3387.39,2244.52,1142.87
17,2,10,134,3,4257.0,3180.31,1076.69
18,5,1,300,3,4398.42,3304.4,1094.02
19,1,16,304,5,9335.2,6432.31,2902.89
20,3,25,8,2,430.96,311.59,119.37
21,4,12,287,1,1593.48,1116.91,476.57
22,2,5,23,5,14098.0,10264.3,3833.7
23,1,23,195,2,4014.32,2605.82,1408.5
24,2,2,148,5,8376.55,4888.2,3488.35
25,5,25,275,2,430.96,304.31,126.65
26,2,16,31,5,9335.2,6298.46,3036.74
27,5,8,46,3,2305.71,1829.12,476.59
28,2,18,312,4,3274.88,1794.96,1479.92
29,5,23,108,4,8028.64,6241.87,1786.77
30,1,11,276,2,3371.2,2425.53,945.67
31,4,12,110,4,6373.92,4753.33,1620.59
32,4,11,57,1,1685.6,880.3,805.3
33,3,27,48,1,2832.73,1853.03,979.7
34,1,10,179,1,1419.0,902.76,516.24
35,5,26,283,5,4204.05,2193.3,2010.75
36,3,25,42,4,861.92,663.74,198.18
37,2,11,13,3,5056.8,2915.72,2141.08
38,5,12,339,4,6373.92,4311.59,2062.33
39,4,4,264,2,4751.9,3514.08,1237.82
40,4,22,241,5,14304.05,7346.74,6957.31
41,4,27,171,3,8498.19,6761.02,1737.17
42,2,2,67,5,8376.55,4627.82,3748.73
43,1,14,39,5,8141.1,6142.61,1998.49
44,2,13,205,3,7684.86,5171.3,2513.56
45,3,29,187,2,2258.26,1561.69,696.57
46,5,16,165,1,1867.04,1433.57,433.47
47,5,23,170,5,10035.8,6443.37,3592.43
48,5,13,303,3,7684.86,4947.24,2737.62
49,1,12,36,3,4780.44,2510.5,2269.94
50,3,25,10,2,430.96,325.18,105.78
51,5,9,100,5,14792.3,11048.1,3744.2
52,1,15,236,1,236.21,144.35,91.86
53,5,27,45,1,2832.73,1569.52,1263.21
54,3,28,98,5,10493.25,5965.67,4527.58
55,3,23,357,4,8028.64,6355.55,1673.09
56,2,3,155,4,4366.4,2572.62,1793.78
57,1,18,245,3,2456.16,1283.7,1172.46
58,4,30,338,4,2254.6,1568.53,686.07
59,4,13,143,4,10246.48,6963.02,3283.46
60,1,17,76,1,2257.06,1139.4,1117.66
61,4,3,266,2,2183.2,1227.6,955.6
62,1,29,297,3,3387.39,2366.05,1021.34
63,2,28,103,5,10493.25,8045.02,2448.23
64,3,11,27,5,8428.0,4911.76,3516.24
65,5,22,70,1,2860.81,1939.48,921.33
66,2,9,182,4,11833.84,6738.2,5095.64
67,5,15,215,3,708.63,422.92,285.71
68,4,15,104,3,708.63,378.34,330.29
69,2,3,84,3,3274.8,1744.94,1529.86
70,2,13,6,2,5123.24,3060.45,2062.79
71,5,17,39,2,4514.12,2473.34,2040.78
72,2,28,207,5,10493.25,6665.31,3827.94
73,2,4,81,2,4751.9,2564.0,2187.9
74,3,13,261,3,7684.86,5271.37,2413.49
75,4,24,185,2,869.5,565.37,304.13
76,3,1,189,5,7330.7,3841.62,3489.08
77,2,27,226,5,14163.65,8808.92,5354.73
78,2,15,69,3,708.63,465.45,243.18
79,1,8,136,3,2305.71,1717.17,588.54
80,5,6,115,1,719.01,448.95,270.06
81,5,18,166,5,4093.6,2130.62,1962.98
82,4,19,139,2,2882.64,2144.55,738.09
83,4,15,75,2,472.42,268.52,203.9
84,3,8,177,3,2305.71,1385.44,920.27
85,3,20,176,2,3846.7,2298.06,1548.64
86,4,8,36,1,768.57,510.05,258.52
87,5,26,243,2,1681.62,1133.45,548.17
88,3,9,148,5,14792.3,9746.78,5045.52
89,2,17,339,3,6771.18,4898.02,1873.16
90,3,27,56,2,5665.46,4051.73,1613.73
91,5,10,19,3,4257.0,2206.72,2050.28
92,1,24,134,3,1304.25,777.24,527.01
93,3,15,363,1,236.21,171.71,64.5
94,5,3,324,5,5458.0,4366.32,1091.68
95,3,1,146,3,4398.42,2240.92,2157.5
96,4,27,111,5,14163.65,10483.77,3679.88
97,2,28,194,4,8394.6,5452.91,2941.69
98,2,10,77,4,5676.0,3293.61,2382.39
99,3,23,262,2,4014.32,2502.48,1511.84
100,3,25,363,1,215.48,134.86,80.62
101,2,22,136,2,5721.62,2932.23,2789.39
102,1,9,297,3,8875.38,4950.13,3925.25
103,4,3,242,4,4366.4,3274.06,1092.34
104,1,28,123,4,8394.6,5292.24,3102.36
105,1,5,110,1,2819.6,1674.43,1145.17
106,2,17,221,1,2257.06,1703.96,553.1
107,4,5,136,2,5639.2,3012.9,2626.3
108,1,16,72,3,5601.12,4212.68,1388.44
109,3,26,106,4,3363.24,2087.67,1275.57
110,1,10,130,1,1419.0,923.48,495.52
111,4,27,18,3,8498.19,4466.94,4031.25
112,4,9,90,1,2958.46,1690.43,1268.03
113,3,4,362,3,7127.85,5178.86,1948.99
114,1,14,309,3,4884.66,3432.25,1452.41
115,5,13,127,2,5123.24,2650.7,2472.54
116,4,9,296,2,5916.92,3733.28,2183.64
117,4,17,30,5,11285.3,6187.92,5097.38
118,1,4,106,4,9503.8,5016.73,4487.07
119,3,24,294,4,1739.0,1302.16,436.84
120,1,29,257,5,5645.65,3707.24,1938.41
121,5,22,148,1,2860.81,1604.99,1255.82
122,4,10,333,4,5676.0,3345.95,2330.05
123,4,22,187,1,2860.81,2026.09,834.72
124,1,21,299,3,3230.34,1724.38,1505.96
125,2,26,85,3,2522.43,1440.46,1081.97
126,4,7,127,2,3649.58,2593.87,1055.71
127,3,16,112,5,9335.2,5613.75,3721.45
128,2,20,128,5,9616.75,6427.89,3188.86
129,5,27,144,2,5665.46,3269.17,2396.29
130,2,2,96,5,8376.55,6305.3,2071.25
131,1,14,153,5,8141.1,4337.01,3804.09
132,5,7,51,2,3649.58,1954.56,1695.02
133,3,12,271,1,1593.48,1256.23,337.25
134,1,17,178,3,6771.18,4205.71,2565.47
135,2,15,261,5,1181.05,865.82,315.23
136,1,14,117,4,6512.88,4978.45,1534.43
137,1,25,353,2,430.96,216.67,214.29
138,2,11,357,3,5056.8,3373.7,1683.1
139,4,1,137,2,2932.28,2089.82,842.46
140,2,15,326,5,1181.05,700.47,480.58
141,4,6,198,5,3595.05,2546.06,1048.99
142,5,6,177,5,3595.05,2581.78,1013.27
143,2,11,266,2,3371.2,2659.95,711.25
144,1,3,287,1,1091.6,830.91,260.69
145,3,16,229,2,3734.08,2301.03,1433.05
146,5,18,170,2,1637.44,1210.65,426.79
147,4,5,48,1,2819.6,2157.35,662.25
148,2,23,99,5,10035.8,5886.21,4149.59
149,3,24,57,1,434.75,281.34,153.41
150,5,27,140,3,8498.19,5780.65,2717.54
151,4,30,363,5,2818.25,1533.59,1284.66
152,5,9,274,5,14792.3,11504.66,3287.64
153,5,2,150,3,5025.93,3551.45,1474.48
154,5,25,277,1,215.48,148.87,66.61
155,1,16,54,1,1867.04,1294.33,572.71
156,4,25,92,3,646.44,416.53,229.91
157,4,27,260,3,8498.19,5848.27,2649.92
158,3,16,86,3,5601.12,4299.18,1301.94
159,5,18,341,4,3274.88,2089.37,1185.51
160,1,18,102,1,818.72,558.14,260.58
161,4,17,2,5,11285.3,7379.55,3905.75
162,4,19,221,1,1441.32,993.67,447.65
163,1,23,72,5,10035.8,7418.32,2617.48
164,4,19,76,3,4323.96,2336.43,1987.53
165,3,29,212,4,4516.52,3325.65,1190.87
166,2,12,206,5,7967.4,5573.87,2393.53
167,5,4,276,3,7127.85,5474.88,1652.97
168,1,26,17,4,3363.24,2544.31,818.93
169,5,3,59,1,1091.6,614.57,477.03
170,4,28,192,1,2098.65,1404.63,694.02
171,2,18,305,2,1637.44,945.39,692.05
172,1,29,230,5,5645.65,3112.47,2533.18
173,2,29,226,3,3387.39,2015.13,1372.26
174,1,13,131,2,5123.24,3742.17,1381.07
175,3,16,216,5,9335.2,7294.63,2040.57
176,1,8,38,5,3842.85,2834.6,1008.25
177,4,2,321,1,1675.31,948.94,726.37
178,3,29,198,3,3387.39,2558.52,828.87
179,1,4,270,4,9503.8,4969.86,4533.94
180,1,23,40,5,10035.8,5573.12,4462.68
181,2,17,63,5,11285.3,5820.22,5465.08
182,1,2,189,3,5025.93,3633.56,1392.37
183,3,15,73,3,708.63,424.06,284.57
184,2,13,330,4,10246.48,5560.12,4686.36
185,4,6,176,3,2157.03,1116.89,1040.14
186,3,1,5,3,4398.42,3049.81,1348.61
187,4,4,79,3,7127.85,5312.16,1815.69
188,3,19,221,4,5765.28,4509.15,1256.13
189,5,17,159,1,2257.06,1194.99,1062.07
190,4,16,153,2,3734.08,2786.25,947.83
191,5,21,328,2,2153.56,1177.84,975.72
192,5,27,14,1,2832.73,1669.78,1162.95
193,4,11,302,5,8428.0,5324.19,3103.81
194,5,23,217,5,10035.8,6404.93,3630.87
195,4,16,14,1,1867.04,1444.95,422.09
196,2,12,169,3,4780.44,3754.13,1026.31
197,4,20,235,4,7693.4,4646.63,3046.77
198,3,6,184,2,1438.02,1062.26,375.76
199,2,5,272,5,14098.0,9628.41,4469.59
200,4,17,32,2,4514.12,3068.74,1445.38
201,4,3,76,5,5458.0,4328.97,1129.03
202,1,8,331,3,2305.71,1419.07,886.64
203,2,4,182,1,2375.95,1784.63,591.32
204,5,21,64,4,4307.12,3002.97,1304.15
205,3,28,77,4,8394.6,5612.28,2782.32
206,3,6,4,2,1438.02,863.81,574.21
207,1,19,147,2,2882.64,1722.04,1160.6
